dataset,model,causal_discovery,shapley_method,importance_ratio_true,mean_shap_true_parents,mean_shap_non_parents,true_parents_in_top5,total_true_parents,importance_ratio_discovered,mean_shap_discovered,discovered_parents_in_top5,total_discovered_parents,true_parent_features,discovered_parent_features,true_parent_recall,dataset_type
nonlinear_no_conf_f10_s500_p50,NN,LINGAM,Scratch,4.406507693053854,0.27472016493548684,0.06234419274214333,5,5,0.6670240888384201,0.12043544332539902,1,2,"[1, 2, 3, 4, 6]","[1, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,NN,LINGAM,Asymmetric,2.834483220762827,0.2934230403641821,0.10351906062270319,5,5,0.7838539989070762,0.16260145756132552,1,2,"[1, 2, 3, 4, 6]","[1, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,NN,LINGAM,Causal,4.557235621601707,0.28068334981971443,0.06159070391033768,5,5,0.7878222075726323,0.14080049807298153,1,2,"[1, 2, 3, 4, 6]","[1, 8]",1.0,nonlinear_no
nonlinear_no_conf_f10_s500_p50,NN,LINGAM,Flow,2.0946352608774284,0.18964568748530117,0.09053876396879706,3,5,4.209295668070383,0.35915967869008075,2,2,"[1, 2, 3, 4, 6]","[1, 8]",0.6,nonlinear_no
nonlinear_conf_f10_s500_p50,LGBM,PC,Scratch,3.8619105046151687,0.1400476400598964,0.03626382327931544,4,5,6.7744404955308575,0.37859077075027037,1,1,"[3, 4, 5, 8, 9]",[4],0.8,nonlinear_conf
nonlinear_conf_f10_s500_p50,LGBM,PC,Asymmetric,3.9243991489473156,0.14687763185090502,0.03742678210760075,4,5,6.9738997391713795,0.40231894697619763,1,1,"[3, 4, 5, 8, 9]",[4],0.8,nonlinear_conf
nonlinear_conf_f10_s500_p50,LGBM,PC,Causal,2.567477654408906,0.14246682873958413,0.055489023826531945,3,5,4.7547430235060055,0.3421471442041561,1,1,"[3, 4, 5, 8, 9]",[4],0.6,nonlinear_conf
nonlinear_conf_f10_s500_p50,LGBM,PC,Flow,0.2840543685166213,0.0950379207370896,0.33457651516994186,1,5,0.0,0.0,0,1,"[3, 4, 5, 8, 9]",[4],0.2,nonlinear_conf
nonlinear_conf_f10_s500_p50,LGBM,LINGAM,Scratch,3.8619105046151687,0.1400476400598964,0.03626382327931544,4,5,1.8136835841681498,0.11364931314888141,3,5,"[3, 4, 5, 8, 9]","[0, 4, 5, 6, 7]",0.8,nonlinear_conf
nonlinear_conf_f10_s500_p50,LGBM,LINGAM,Asymmetric,3.3172006122016304,0.1407129090945497,0.04241917373853321,4,5,1.689437472715849,0.115039002145785,3,5,"[3, 4, 5, 8, 9]","[0, 4, 5, 6, 7]",0.8,nonlinear_conf
nonlinear_conf_f10_s500_p50,LGBM,LINGAM,Causal,3.652416714457267,0.14971404752495215,0.04099040696324242,3,5,1.725587263914486,0.12073624726436678,3,5,"[3, 4, 5, 8, 9]","[0, 4, 5, 6, 7]",0.6,nonlinear_conf
nonlinear_conf_f10_s500_p50,LGBM,LINGAM,Flow,3.943209598111969,0.6441786647065598,0.16336404359915238,3,5,2.8148007055469684,0.5958559727099331,2,5,"[3, 4, 5, 8, 9]","[0, 4, 5, 6, 7]",0.6,nonlinear_conf
nonlinear_conf_f10_s500_p50,NN,PC,Scratch,1.534114965430564,0.15331444361839366,0.09993673686337093,2,5,4.676611658548156,0.4329864197181677,1,1,"[3, 4, 5, 8, 9]",[4],0.4,nonlinear_conf
nonlinear_conf_f10_s500_p50,NN,PC,Asymmetric,1.0346904956405385,0.16331904657712265,0.15784338144134386,2,5,3.742299568998686,0.4716126824063222,1,1,"[3, 4, 5, 8, 9]",[4],0.4,nonlinear_conf
nonlinear_conf_f10_s500_p50,NN,PC,Causal,1.7036208999678,0.14899020132229185,0.0874550208471309,3,5,3.319557597334721,0.318555892695291,1,1,"[3, 4, 5, 8, 9]",[4],0.6,nonlinear_conf
nonlinear_conf_f10_s500_p50,NN,PC,Flow,0.25585419095554957,0.1367007004624052,0.53429142572128,1,5,0.0,0.0,0,1,"[3, 4, 5, 8, 9]",[4],0.2,nonlinear_conf
nonlinear_conf_f10_s500_p50,NN,LINGAM,Scratch,1.534114965430564,0.15331444361839366,0.09993673686337093,2,5,1.8905370174157574,0.16563729456509846,3,5,"[3, 4, 5, 8, 9]","[0, 4, 5, 6, 7]",0.4,nonlinear_conf
nonlinear_conf_f10_s500_p50,NN,LINGAM,Asymmetric,0.8749937185124745,0.1553470442447689,0.17754075367405525,2,5,2.1283531540732175,0.226477881415186,3,5,"[3, 4, 5, 8, 9]","[0, 4, 5, 6, 7]",0.4,nonlinear_conf
nonlinear_conf_f10_s500_p50,NN,LINGAM,Causal,1.8659403034124766,0.1485186593158105,0.07959453957031529,3,5,1.9046505352351464,0.14957941448797654,3,5,"[3, 4, 5, 8, 9]","[0, 4, 5, 6, 7]",0.6,nonlinear_conf
nonlinear_conf_f10_s500_p50,NN,LINGAM,Flow,2.725233131404037,0.8661939712569714,0.31784215496114615,3,5,2.1351981151452604,0.8063770173731701,2,5,"[3, 4, 5, 8, 9]","[0, 4, 5, 6, 7]",0.6,nonlinear_conf
mixed_no_conf_f10_s500_p50,LGBM,PC,Scratch,13.605615841344346,0.8811897114877156,0.064766617091303,5,5,0.7726033111007444,0.37392748295977535,1,1,"[0, 3, 5, 7, 9]",[3],1.0,mixed_no
